Time,latitude,longitude,height_msl
2025-09-03 19:27:21.600,39.195167353,-77.257508587,166.1521
2025-09-03 19:27:21.700,39.195167251,-77.257508466,166.1625
2025-09-03 19:27:21.800,39.195167092,-77.257508317,166.1693
2025-09-03 19:27:21.900,39.195166553,-77.257508090,166.1684
2025-09-03 19:27:22.000,39.195166427,-77.257508116,166.1947
2025-09-03 19:27:22.100,39.195166052,-77.257508144,166.2131
2025-09-03 19:27:22.200,39.195165288,-77.257508063,166.1920
2025-09-03 19:27:22.300,39.195165254,-77.257508071,166.1835
2025-09-03 19:27:22.400,39.195164946,-77.257508399,166.2051
2025-09-03 19:27:22.500,39.195165525,-77.257508100,166.1490
2025-09-03 19:27:22.600,39.195166075,-77.257507858,166.1684
2025-09-03 19:27:22.700,39.195165744,-77.257508228,166.2542
2025-09-03 19:27:22.800,39.195165762,-77.257508634,166.3104
2025-09-03 19:27:22.900,39.195164960,-77.257508768,166.4819
2025-09-03 19:27:23.000,39.195165467,-77.257508847,166.5784
2025-09-03 19:27:23.100,39.195163984,-77.257509529,166.7337
2025-09-03 19:27:23.200,39.195162299,-77.257510561,166.8620
2025-09-03 19:27:23.300,39.195159730,-77.257512098,166.9738
2025-09-03 19:27:23.400,39.195158059,-77.257512604,167.0768
2025-09-03 19:27:23.500,39.195156452,-77.257514581,167.1918
2025-09-03 19:27:23.600,39.195155365,-77.257516005,167.2292
2025-09-03 19:27:23.700,39.195154773,-77.257517569,167.3639
2025-09-03 19:27:23.800,39.195153542,-77.257519043,167.4942
2025-09-03 19:27:23.900,39.195152137,-77.257520366,167.8292
2025-09-03 19:27:24.000,39.195152200,-77.257522600,167.9040
2025-09-03 19:27:24.100,39.195151257,-77.257523502,167.8927
2025-09-03 19:27:24.200,39.195150194,-77.257524685,167.9529
2025-09-03 19:27:24.300,39.195148803,-77.257526385,168.0910
2025-09-03 19:27:24.400,39.195147852,-77.257526953,168.1692
2025-09-03 19:27:24.500,39.195146555,-77.257527484,168.1438
2025-09-03 19:27:24.600,39.195145585,-77.257528518,168.1563
2025-09-03 19:27:24.700,39.195144476,-77.257529966,168.2299
2025-09-03 19:27:24.800,39.195142925,-77.257531597,168.2404
2025-09-03 19:27:24.900,39.195141101,-77.257533444,168.4313
2025-09-03 19:27:25.000,39.195140338,-77.257534814,168.5360
2025-09-03 19:27:25.100,39.195139987,-77.257535608,168.4760
2025-09-03 19:27:25.200,39.195139546,-77.257536913,168.4299
2025-09-03 19:27:25.300,39.195139050,-77.257538214,168.3804
2025-09-03 19:27:25.400,39.195138036,-77.257539138,168.4365
2025-09-03 19:27:25.500,39.195137398,-77.257538634,168.3552
